time[s]	speed[m/s]
0	0.000
1	0.500
2	1.000
3	1.500
4	2.000
5	2.500
6	3.000
7	3.500
8	4.000
9	4.500
10	5.000
11	5.500
12	6.000
13	6.500
14	7.000
15	7.500
16	8.000
17	8.500
18	9.000
19	9.500
20	10.000
21	10.000
22	10.000
23	10.000
24	10.000
25	10.000
26	10.000
27	10.000
28	10.000
29	10.000
30	10.000
31	10.000
32	10.000
33	10.000
34	10.000
35	10.000
36	10.000
37	10.000
38	10.000
39	10.000
40	10.000
41	10.000
42	10.000
43	10.000
44	10.000
45	10.000
46	10.000
47	10.000
48	10.000
49	10.000
50	10.000
51	10.000
52	10.000
53	10.000
54	10.000
55	10.000
56	10.000
57	10.000
58	10.000
59	10.000
60	10.000
61	10.000
62	9.474
63	8.947
64	8.421
65	7.895
66	7.368
67	6.842
68	6.316
69	5.789
70	5.263
71	4.737
72	4.211
73	3.684
74	3.158
75	2.632
76	2.105
77	1.579
78	1.053
79	0.526
80	0.000
